match_id,season,start_date,innings,over,ball,total_balls,balls_remaining,runs_from_ball,total_runs,team_score,runs_remaining,wickets_down,target_score,bat_first,bat_second,winner
64814,2002,2002-12-29,1,0,1,309,308,1,254,1,253,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,0,2,309,307,0,254,1,253,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,0,3,309,306,0,254,1,253,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,0,4,309,305,1,254,2,252,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,0,5,309,304,0,254,2,252,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,0,6,309,303,0,254,2,252,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,1,309,302,1,254,3,251,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,2,309,301,0,254,3,251,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,3,309,300,0,254,3,251,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,4,309,299,0,254,3,251,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,5,309,298,0,254,3,251,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,6,309,297,2,254,5,249,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,7,309,296,1,254,6,248,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,1,8,309,295,3,254,9,245,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,1,309,294,0,254,9,245,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,2,309,293,0,254,9,245,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,3,309,292,1,254,10,244,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,4,309,291,0,254,10,244,0,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,5,309,290,0,254,10,244,1,-1,New Zealand,India,New Zealand
64814,2002,2002-12-29,1,2,6,309,289,0,254,10,244,1,-1,New Zealand,India,New Zealand
